=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 15:29:39 =~=~=~=~=~=~=~=~=~=~=~=
x:0.36,y:1.00,z:0.60
x:0.41,y:0.45,z:0.70
x:0.43,y:0.07,z:0.72
x:0.40,y:0.11,z:0.55
x:0.28,y:0.14,z:0.40
x:0.11,y:0.17,z:0.26
x:0.01,y:0.14,z:0.21
x:0.00,y:0.11,z:0.19
x:0.30,y:0.10,z:0.30
x:0.61,y:0.10,z:0.35
x:0.92,y:0.12,z:0.33
x:1.00,y:0.13,z:0.28
x:1.00,y:0.13,z:0.23
x:0.86,y:0.15,z:0.26
x:0.68,y:0.15,z:0.38
x:0.43,y:0.12,z:0.63
x:0.37,y:0.07,z:0.83
x:0.41,y:0.00,z:1.00
x:0.44,y:0.01,z:0.98
x:0.48,y:0.02,z:0.91
x:0.53,y:0.02,z:0.74
x:0.43,y:0.04,z:0.64
x:0.19,y:0.07,z:0.61
x:0.26,y:0.15,z:0.43
x:0.37,y:0.24,z:0.23
x:0.37,y:0.23,z:0.04
x:0.38,y:0.19,z:0.00
x:0.43,y:0.10,z:0.16
x:0.43,y:0.09,z:0.20
x:0.41,y:0.11,z:0.19
