=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 14:26:45 =~=~=~=~=~=~=~=~=~=~=~=
x:0.02,y:0.70,z:0.56
x:0.01,y:0.65,z:0.53
x:0.00,y:0.60,z:0.51
x:0.11,y:0.60,z:0.54
x:0.26,y:0.62,z:0.59
x:0.49,y:0.65,z:0.51
x:0.79,y:0.69,z:0.32
x:1.00,y:0.72,z:0.18
x:1.00,y:0.69,z:0.17
x:0.99,y:0.67,z:0.16
x:0.91,y:0.73,z:0.20
x:0.82,y:0.79,z:0.24
x:0.55,y:0.62,z:0.47
x:0.25,y:0.41,z:0.74
x:0.11,y:0.29,z:0.89
x:0.06,y:0.22,z:0.97
x:0.20,y:0.14,z:1.00
x:0.65,y:0.04,z:0.96
x:0.98,y:0.00,z:0.91
x:0.64,y:0.30,z:0.80
x:0.30,y:0.61,z:0.68
x:0.26,y:0.79,z:0.53
x:0.25,y:0.97,z:0.38
x:0.22,y:1.00,z:0.21
x:0.18,y:0.97,z:0.05
x:0.16,y:0.87,z:0.00
x:0.16,y:0.69,z:0.09
x:0.18,y:0.54,z:0.16
x:0.23,y:0.50,z:0.14
x:0.28,y:0.46,z:0.13
