=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 15:29:08 =~=~=~=~=~=~=~=~=~=~=~=
x:0.55,y:0.41,z:0.64
x:0.53,y:0.42,z:0.63
x:0.52,y:0.44,z:0.56
x:0.50,y:0.49,z:0.37
x:0.39,y:0.61,z:0.27
x:0.21,y:0.78,z:0.23
x:0.06,y:0.68,z:0.14
x:0.00,y:0.56,z:0.06
x:0.33,y:0.48,z:0.06
x:0.57,y:0.47,z:0.09
x:0.71,y:0.51,z:0.14
x:0.86,y:0.52,z:0.08
x:1.00,y:0.51,z:0.00
x:0.97,y:0.63,z:0.08
x:0.83,y:0.68,z:0.22
x:0.49,y:0.60,z:0.48
x:0.31,y:0.35,z:0.74
x:0.21,y:0.00,z:1.00
x:0.35,y:0.04,z:1.00
x:0.45,y:0.14,z:0.95
x:0.40,y:0.36,z:0.77
x:0.38,y:0.51,z:0.62
x:0.36,y:0.60,z:0.48
x:0.29,y:0.73,z:0.37
x:0.23,y:0.86,z:0.26
x:0.33,y:1.00,z:0.17
x:0.42,y:0.94,z:0.16
x:0.47,y:0.61,z:0.28
x:0.49,y:0.50,z:0.33
x:0.50,y:0.49,z:0.34
