=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 14:02:09 =~=~=~=~=~=~=~=~=~=~=~=
x:0.00,y:0.24,z:1.00
x:0.25,y:0.18,z:0.99
x:0.50,y:0.12,z:0.97
x:0.75,y:0.06,z:0.96
x:1.00,y:0.00,z:0.94
x:0.94,y:0.10,z:0.91
x:0.83,y:0.23,z:0.88
x:0.72,y:0.35,z:0.85
x:0.61,y:0.48,z:0.82
x:0.54,y:0.59,z:0.73
x:0.48,y:0.70,z:0.62
x:0.41,y:0.81,z:0.52
x:0.35,y:0.92,z:0.41
x:0.40,y:0.97,z:0.35
x:0.52,y:0.98,z:0.32
x:0.65,y:0.99,z:0.29
x:0.77,y:1.00,z:0.26
x:0.77,y:1.00,z:0.23
x:0.60,y:0.98,z:0.20
x:0.42,y:0.96,z:0.17
x:0.25,y:0.95,z:0.14
x:0.17,y:0.91,z:0.11
x:0.31,y:0.84,z:0.08
x:0.45,y:0.76,z:0.05
x:0.59,y:0.69,z:0.02
x:0.71,y:0.61,z:0.00
x:0.73,y:0.57,z:0.01
x:0.75,y:0.53,z:0.03
x:0.76,y:0.49,z:0.04
x:0.78,y:0.45,z:0.06
