=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 16:15:47 =~=~=~=~=~=~=~=~=~=~=~=
x:0.69,y:0.77,z:0.51
x:0.56,y:0.73,z:0.47
x:0.44,y:0.68,z:0.42
x:0.32,y:0.62,z:0.39
x:0.28,y:0.40,z:0.47
x:0.24,y:0.17,z:0.55
x:0.21,y:0.00,z:0.61
x:0.21,y:0.02,z:0.57
x:0.21,y:0.04,z:0.53
x:0.21,y:0.08,z:0.49
x:0.19,y:0.15,z:0.43
x:0.16,y:0.21,z:0.38
x:0.16,y:0.24,z:0.33
x:0.17,y:0.22,z:0.32
x:0.19,y:0.19,z:0.30
x:0.16,y:0.22,z:0.23
x:0.08,y:0.32,z:0.12
x:0.00,y:0.41,z:0.00
x:0.03,y:0.48,z:0.03
x:0.12,y:0.53,z:0.16
x:0.22,y:0.58,z:0.29
x:0.38,y:0.68,z:0.46
x:0.58,y:0.79,z:0.66
x:0.77,y:0.91,z:0.85
x:0.86,y:0.94,z:0.91
x:0.93,y:0.96,z:0.95
x:1.00,y:0.97,z:0.99
x:0.99,y:0.98,z:0.99
x:0.98,y:0.99,z:1.00
x:0.97,y:1.00,z:1.00
