=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 15:47:04 =~=~=~=~=~=~=~=~=~=~=~=
x:0.76,y:0.64,z:0.82
x:0.58,y:0.40,z:0.89
x:0.41,y:0.15,z:0.97
x:0.28,y:0.00,z:1.00
x:0.22,y:0.00,z:0.95
x:0.16,y:0.00,z:0.89
x:0.10,y:0.12,z:0.79
x:0.05,y:0.29,z:0.68
x:0.00,y:0.47,z:0.55
x:0.00,y:0.70,z:0.34
x:0.00,y:0.94,z:0.12
x:0.10,y:1.00,z:0.00
x:0.33,y:0.86,z:0.00
x:0.56,y:0.72,z:0.00
x:0.66,y:0.61,z:0.08
x:0.74,y:0.51,z:0.19
x:0.83,y:0.40,z:0.29
x:0.91,y:0.29,z:0.40
x:1.00,y:0.17,z:0.51
x:0.96,y:0.10,z:0.61
x:0.80,y:0.07,z:0.69
x:0.65,y:0.04,z:0.78
x:0.46,y:0.14,z:0.74
x:0.26,y:0.25,z:0.69
x:0.12,y:0.35,z:0.64
x:0.12,y:0.45,z:0.62
x:0.12,y:0.55,z:0.60
x:0.20,y:0.52,z:0.58
x:0.32,y:0.44,z:0.56
x:0.44,y:0.35,z:0.55
