=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 14:18:51 =~=~=~=~=~=~=~=~=~=~=~=
x:0.54,y:0.76,z:0.49
x:0.58,y:0.61,z:0.55
x:0.61,y:0.45,z:0.61
x:0.59,y:0.32,z:0.70
x:0.47,y:0.23,z:0.85
x:0.35,y:0.14,z:1.00
x:0.34,y:0.23,z:0.97
x:0.38,y:0.38,z:0.88
x:0.43,y:0.52,z:0.80
x:0.58,y:0.51,z:0.79
x:0.74,y:0.50,z:0.78
x:0.86,y:0.47,z:0.77
x:0.93,y:0.43,z:0.76
x:1.00,y:0.39,z:0.76
x:1.00,y:0.26,z:0.81
x:0.97,y:0.11,z:0.88
x:0.93,y:0.00,z:0.92
x:0.79,y:0.09,z:0.88
x:0.65,y:0.18,z:0.84
x:0.46,y:0.39,z:0.67
x:0.23,y:0.69,z:0.41
x:0.00,y:1.00,z:0.14
x:0.15,y:0.93,z:0.07
x:0.35,y:0.82,z:0.02
x:0.49,y:0.71,z:0.00
x:0.50,y:0.56,z:0.07
x:0.50,y:0.42,z:0.13
x:0.60,y:0.35,z:0.13
x:0.74,y:0.31,z:0.08
x:0.88,y:0.27,z:0.03
