=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 15:28:40 =~=~=~=~=~=~=~=~=~=~=~=
x:0.52,y:0.45,z:0.75
x:0.46,y:0.41,z:0.80
x:0.43,y:0.41,z:0.79
x:0.48,y:0.49,z:0.63
x:0.34,y:0.70,z:0.46
x:0.07,y:0.99,z:0.28
x:0.00,y:0.84,z:0.28
x:0.00,y:0.66,z:0.31
x:0.15,y:0.64,z:0.33
x:0.36,y:0.58,z:0.39
x:0.63,y:0.47,z:0.49
x:0.84,y:0.48,z:0.47
x:1.00,y:0.53,z:0.40
x:0.91,y:0.88,z:0.37
x:0.81,y:1.00,z:0.42
x:0.66,y:0.70,z:0.59
x:0.46,y:0.40,z:0.79
x:0.24,y:0.11,z:1.00
x:0.36,y:0.06,z:0.94
x:0.47,y:0.02,z:0.88
x:0.46,y:0.00,z:0.88
x:0.36,y:0.27,z:0.79
x:0.18,y:0.81,z:0.62
x:0.24,y:0.82,z:0.41
x:0.34,y:0.76,z:0.21
x:0.48,y:0.99,z:0.06
x:0.53,y:0.98,z:0.00
x:0.47,y:0.63,z:0.06
x:0.48,y:0.54,z:0.10
x:0.51,y:0.55,z:0.12
