=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 17:54:31 =~=~=~=~=~=~=~=~=~=~=~=
x:0.80,y:0.93,z:0.33
x:0.72,y:0.84,z:0.42
x:0.65,y:0.74,z:0.51
x:0.58,y:0.64,z:0.61
x:0.55,y:0.41,z:0.75
x:0.52,y:0.18,z:0.89
x:0.49,y:0.03,z:1.00
x:0.43,y:0.21,z:0.99
x:0.36,y:0.38,z:0.99
x:0.36,y:0.52,z:0.97
x:0.48,y:0.55,z:0.93
x:0.60,y:0.59,z:0.89
x:0.72,y:0.56,z:0.86
x:0.84,y:0.43,z:0.84
x:0.95,y:0.31,z:0.82
x:1.00,y:0.20,z:0.79
x:0.98,y:0.10,z:0.76
x:0.95,y:0.00,z:0.73
x:0.78,y:0.08,z:0.66
x:0.50,y:0.29,z:0.58
x:0.23,y:0.49,z:0.49
x:0.11,y:0.67,z:0.37
x:0.06,y:0.84,z:0.24
x:0.00,y:1.00,z:0.11
x:0.07,y:0.97,z:0.06
x:0.16,y:0.90,z:0.03
x:0.26,y:0.82,z:0.00
x:0.23,y:0.75,z:0.06
x:0.20,y:0.69,z:0.12
x:0.16,y:0.62,z:0.19
