=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 17:50:39 =~=~=~=~=~=~=~=~=~=~=~=
x:1.00,y:0.49,z:0.71
x:0.99,y:0.46,z:0.74
x:0.97,y:0.43,z:0.76
x:0.68,y:0.46,z:0.73
x:0.36,y:0.50,z:0.69
x:0.37,y:0.38,z:0.83
x:0.44,y:0.23,z:1.00
x:0.48,y:0.31,z:0.88
x:0.51,y:0.45,z:0.69
x:0.37,y:0.69,z:0.48
x:0.16,y:0.98,z:0.27
x:0.05,y:0.86,z:0.32
x:0.00,y:0.52,z:0.52
x:0.12,y:0.27,z:0.64
x:0.38,y:0.09,z:0.69
x:0.56,y:0.04,z:0.69
x:0.67,y:0.12,z:0.64
x:0.76,y:0.21,z:0.56
x:0.84,y:0.30,z:0.42
x:0.87,y:0.42,z:0.28
x:0.83,y:0.60,z:0.11
x:0.73,y:0.78,z:0.00
x:0.49,y:0.97,z:0.04
x:0.28,y:1.00,z:0.15
x:0.20,y:0.45,z:0.53
x:0.14,y:0.00,z:0.86
x:0.29,y:0.16,z:0.83
x:0.41,y:0.32,z:0.82
x:0.37,y:0.39,z:0.88
x:0.34,y:0.47,z:0.94
