=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 14:04:39 =~=~=~=~=~=~=~=~=~=~=~=
x:0.00,y:0.52,z:0.50
x:0.09,y:0.49,z:0.48
x:0.17,y:0.45,z:0.45
x:0.36,y:0.42,z:0.43
x:0.61,y:0.38,z:0.41
x:0.84,y:0.36,z:0.38
x:0.92,y:0.40,z:0.38
x:1.00,y:0.44,z:0.38
x:1.00,y:0.53,z:0.36
x:0.98,y:0.63,z:0.33
x:0.83,y:0.68,z:0.35
x:0.45,y:0.65,z:0.49
x:0.07,y:0.62,z:0.62
x:0.04,y:0.40,z:0.72
x:0.04,y:0.17,z:0.82
x:0.05,y:0.04,z:0.90
x:0.07,y:0.01,z:0.96
x:0.10,y:0.00,z:1.00
x:0.19,y:0.17,z:0.76
x:0.28,y:0.34,z:0.51
x:0.22,y:0.58,z:0.33
x:0.08,y:0.85,z:0.17
x:0.04,y:1.00,z:0.04
x:0.30,y:0.80,z:0.02
x:0.55,y:0.61,z:0.00
x:0.59,y:0.49,z:0.09
x:0.58,y:0.38,z:0.20
x:0.53,y:0.34,z:0.25
x:0.41,y:0.40,z:0.24
x:0.29,y:0.45,z:0.22
