=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 18:06:47 =~=~=~=~=~=~=~=~=~=~=~=
x:0.54,y:0.64,z:0.85
x:0.66,y:0.55,z:0.83
x:0.77,y:0.46,z:0.80
x:0.82,y:0.42,z:0.75
x:0.75,y:0.47,z:0.67
x:0.69,y:0.53,z:0.58
x:0.52,y:0.58,z:0.52
x:0.30,y:0.62,z:0.47
x:0.11,y:0.67,z:0.41
x:0.09,y:0.83,z:0.35
x:0.07,y:0.98,z:0.28
x:0.05,y:1.00,z:0.29
x:0.02,y:0.85,z:0.39
x:0.00,y:0.71,z:0.48
x:0.05,y:0.48,z:0.62
x:0.11,y:0.24,z:0.76
x:0.14,y:0.04,z:0.89
x:0.07,y:0.02,z:0.95
x:0.00,y:0.00,z:1.00
x:0.08,y:0.15,z:0.88
x:0.30,y:0.43,z:0.63
x:0.51,y:0.72,z:0.37
x:0.70,y:0.82,z:0.22
x:0.89,y:0.89,z:0.07
x:1.00,y:0.91,z:0.00
x:0.90,y:0.74,z:0.11
x:0.79,y:0.57,z:0.22
x:0.70,y:0.55,z:0.25
x:0.61,y:0.62,z:0.23
x:0.52,y:0.68,z:0.22
