=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 18:06:03 =~=~=~=~=~=~=~=~=~=~=~=
x:1.00,y:0.18,z:0.82
x:0.87,y:0.26,z:0.76
x:0.75,y:0.34,z:0.69
x:0.62,y:0.42,z:0.63
x:0.44,y:0.59,z:0.52
x:0.24,y:0.78,z:0.39
x:0.04,y:0.97,z:0.26
x:0.00,y:1.00,z:0.25
x:0.09,y:0.90,z:0.32
x:0.18,y:0.81,z:0.40
x:0.26,y:0.67,z:0.50
x:0.32,y:0.44,z:0.68
x:0.38,y:0.20,z:0.85
x:0.43,y:0.00,z:1.00
x:0.41,y:0.04,z:0.97
x:0.40,y:0.08,z:0.94
x:0.38,y:0.13,z:0.91
x:0.31,y:0.24,z:0.79
x:0.23,y:0.36,z:0.65
x:0.16,y:0.48,z:0.52
x:0.28,y:0.59,z:0.37
x:0.51,y:0.69,z:0.21
x:0.74,y:0.79,z:0.06
x:0.86,y:0.79,z:0.00
x:0.85,y:0.69,z:0.07
x:0.84,y:0.58,z:0.14
x:0.81,y:0.50,z:0.21
x:0.70,y:0.50,z:0.28
x:0.60,y:0.51,z:0.36
x:0.50,y:0.51,z:0.43
