=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 17:56:13 =~=~=~=~=~=~=~=~=~=~=~=
x:0.39,y:0.66,z:0.42
x:0.36,y:0.70,z:0.46
x:0.33,y:0.74,z:0.50
x:0.30,y:0.60,z:0.60
x:0.28,y:0.33,z:0.72
x:0.25,y:0.12,z:0.84
x:0.12,y:0.25,z:0.92
x:0.00,y:0.38,z:1.00
x:0.16,y:0.41,z:0.94
x:0.42,y:0.41,z:0.83
x:0.63,y:0.40,z:0.77
x:0.75,y:0.39,z:0.82
x:0.87,y:0.38,z:0.86
x:0.94,y:0.23,z:0.86
x:1.00,y:0.07,z:0.86
x:0.98,y:0.00,z:0.78
x:0.87,y:0.03,z:0.63
x:0.74,y:0.09,z:0.48
x:0.40,y:0.51,z:0.35
x:0.05,y:0.93,z:0.23
x:0.04,y:1.00,z:0.13
x:0.20,y:0.89,z:0.04
x:0.32,y:0.75,z:0.00
x:0.36,y:0.54,z:0.09
x:0.40,y:0.32,z:0.18
x:0.48,y:0.29,z:0.15
x:0.57,y:0.30,z:0.10
x:0.62,y:0.30,z:0.10
x:0.61,y:0.27,z:0.18
x:0.60,y:0.24,z:0.25
