=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 18:08:24 =~=~=~=~=~=~=~=~=~=~=~=
x:0.66,y:0.92,z:1.00
x:0.74,y:0.83,z:0.97
x:0.81,y:0.74,z:0.94
x:0.89,y:0.65,z:0.91
x:0.96,y:0.56,z:0.88
x:1.00,y:0.50,z:0.82
x:0.84,y:0.63,z:0.66
x:0.69,y:0.75,z:0.50
x:0.53,y:0.87,z:0.33
x:0.37,y:0.99,z:0.17
x:0.25,y:1.00,z:0.06
x:0.18,y:0.77,z:0.06
x:0.12,y:0.54,z:0.06
x:0.06,y:0.31,z:0.06
x:0.00,y:0.09,z:0.06
x:0.00,y:0.00,z:0.05
x:0.08,y:0.06,z:0.04
x:0.15,y:0.11,z:0.03
x:0.22,y:0.17,z:0.01
x:0.29,y:0.23,z:0.00
x:0.28,y:0.26,z:0.00
x:0.23,y:0.29,z:0.02
x:0.17,y:0.31,z:0.03
x:0.12,y:0.34,z:0.04
x:0.07,y:0.36,z:0.06
x:0.12,y:0.35,z:0.06
x:0.19,y:0.32,z:0.06
x:0.27,y:0.30,z:0.06
x:0.34,y:0.27,z:0.06
x:0.41,y:0.25,z:0.06
