=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:35:03 =~=~=~=~=~=~=~=~=~=~=~=
x:0.00,y:0.00,z:1.00
x:0.03,y:0.11,z:0.94
x:0.06,y:0.21,z:0.88
x:0.09,y:0.32,z:0.82
x:0.12,y:0.42,z:0.76
x:0.15,y:0.53,z:0.70
x:0.21,y:0.63,z:0.60
x:0.26,y:0.73,z:0.50
x:0.31,y:0.83,z:0.40
x:0.36,y:0.93,z:0.30
x:0.37,y:0.98,z:0.24
x:0.31,y:0.93,z:0.23
x:0.25,y:0.87,z:0.23
x:0.19,y:0.82,z:0.23
x:0.13,y:0.76,z:0.22
x:0.14,y:0.77,z:0.20
x:0.22,y:0.82,z:0.15
x:0.30,y:0.88,z:0.10
x:0.38,y:0.94,z:0.05
x:0.46,y:1.00,z:0.00
x:0.48,y:0.97,z:0.00
x:0.47,y:0.90,z:0.02
x:0.46,y:0.82,z:0.05
x:0.45,y:0.75,z:0.07
x:0.44,y:0.67,z:0.10
x:0.54,y:0.72,z:0.08
x:0.65,y:0.78,z:0.06
x:0.77,y:0.85,z:0.04
x:0.88,y:0.92,z:0.02
x:1.00,y:0.98,z:0.00
