=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 18:08:42 =~=~=~=~=~=~=~=~=~=~=~=
x:1.00,y:0.75,z:1.00
x:0.98,y:0.81,z:0.91
x:0.97,y:0.86,z:0.83
x:0.95,y:0.91,z:0.74
x:0.94,y:0.97,z:0.65
x:0.91,y:1.00,z:0.58
x:0.84,y:0.92,z:0.54
x:0.76,y:0.84,z:0.51
x:0.69,y:0.76,z:0.48
x:0.62,y:0.67,z:0.44
x:0.53,y:0.62,z:0.39
x:0.41,y:0.63,z:0.30
x:0.28,y:0.64,z:0.21
x:0.16,y:0.64,z:0.12
x:0.04,y:0.65,z:0.02
x:0.00,y:0.59,z:0.00
x:0.03,y:0.47,z:0.04
x:0.07,y:0.35,z:0.09
x:0.10,y:0.23,z:0.13
x:0.13,y:0.10,z:0.17
x:0.18,y:0.05,z:0.20
x:0.24,y:0.04,z:0.21
x:0.30,y:0.03,z:0.23
x:0.36,y:0.01,z:0.24
x:0.42,y:0.00,z:0.25
x:0.44,y:0.04,z:0.23
x:0.46,y:0.10,z:0.20
x:0.48,y:0.15,z:0.18
x:0.50,y:0.21,z:0.15
x:0.52,y:0.26,z:0.12
