=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:54:10 =~=~=~=~=~=~=~=~=~=~=~=
x:1.00,y:0.45,z:0.73
x:0.84,y:0.25,z:0.85
x:0.68,y:0.05,z:0.97
x:0.57,y:0.00,z:1.00
x:0.48,y:0.05,z:0.96
x:0.40,y:0.12,z:0.89
x:0.34,y:0.22,z:0.72
x:0.29,y:0.33,z:0.54
x:0.17,y:0.56,z:0.41
x:0.03,y:0.83,z:0.30
x:0.00,y:1.00,z:0.19
x:0.18,y:0.99,z:0.09
x:0.36,y:0.97,z:0.00
x:0.47,y:0.91,z:0.02
x:0.57,y:0.84,z:0.05
x:0.66,y:0.76,z:0.10
x:0.73,y:0.67,z:0.17
x:0.79,y:0.57,z:0.25
x:0.75,y:0.35,z:0.41
x:0.72,y:0.14,z:0.58
x:0.61,y:0.10,z:0.67
x:0.47,y:0.16,z:0.72
x:0.34,y:0.23,z:0.76
x:0.24,y:0.36,z:0.79
x:0.14,y:0.50,z:0.83
x:0.16,y:0.61,z:0.78
x:0.21,y:0.72,z:0.72
x:0.24,y:0.68,z:0.71
x:0.27,y:0.44,z:0.77
x:0.30,y:0.20,z:0.83
