=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 17:59:06 =~=~=~=~=~=~=~=~=~=~=~=
x:0.92,y:0.70,z:0.65
x:0.96,y:0.60,z:0.66
x:1.00,y:0.50,z:0.66
x:0.91,y:0.34,z:0.73
x:0.73,y:0.14,z:0.85
x:0.53,y:0.00,z:0.96
x:0.27,y:0.17,z:0.98
x:0.01,y:0.33,z:1.00
x:0.00,y:0.50,z:0.83
x:0.07,y:0.66,z:0.61
x:0.20,y:0.80,z:0.44
x:0.42,y:0.90,z:0.39
x:0.64,y:1.00,z:0.33
x:0.65,y:0.62,z:0.50
x:0.63,y:0.20,z:0.70
x:0.61,y:0.01,z:0.84
x:0.58,y:0.04,z:0.93
x:0.53,y:0.09,z:1.00
x:0.39,y:0.18,z:0.80
x:0.24,y:0.27,z:0.60
x:0.22,y:0.49,z:0.39
x:0.27,y:0.78,z:0.16
x:0.32,y:0.94,z:0.00
x:0.39,y:0.72,z:0.03
x:0.47,y:0.51,z:0.05
x:0.48,y:0.44,z:0.06
x:0.48,y:0.40,z:0.06
x:0.52,y:0.39,z:0.07
x:0.61,y:0.42,z:0.09
x:0.71,y:0.46,z:0.11
