=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 14:09:29 =~=~=~=~=~=~=~=~=~=~=~=
x:0.96,y:0.20,z:0.59
x:0.76,y:0.36,z:0.51
x:0.56,y:0.51,z:0.43
x:0.39,y:0.67,z:0.33
x:0.28,y:0.83,z:0.21
x:0.17,y:0.98,z:0.08
x:0.10,y:1.00,z:0.11
x:0.05,y:0.96,z:0.20
x:0.00,y:0.92,z:0.29
x:0.06,y:0.76,z:0.44
x:0.11,y:0.60,z:0.58
x:0.16,y:0.41,z:0.73
x:0.21,y:0.21,z:0.86
x:0.26,y:0.00,z:1.00
x:0.32,y:0.07,z:0.92
x:0.38,y:0.21,z:0.80
x:0.47,y:0.35,z:0.67
x:0.68,y:0.51,z:0.51
x:0.89,y:0.67,z:0.36
x:0.99,y:0.76,z:0.23
x:0.99,y:0.78,z:0.11
x:1.00,y:0.80,z:0.00
x:0.92,y:0.67,z:0.09
x:0.84,y:0.52,z:0.20
x:0.77,y:0.42,z:0.27
x:0.74,y:0.44,z:0.26
x:0.71,y:0.46,z:0.25
x:0.72,y:0.47,z:0.26
x:0.75,y:0.48,z:0.27
x:0.78,y:0.48,z:0.29
