=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:57:04 =~=~=~=~=~=~=~=~=~=~=~=
x:0.89,y:0.29,z:0.74
x:0.62,y:0.25,z:0.75
x:0.35,y:0.23,z:0.76
x:0.15,y:0.51,z:0.70
x:0.00,y:0.76,z:0.62
x:0.16,y:0.83,z:0.44
x:0.31,y:0.82,z:0.29
x:0.46,y:0.53,z:0.31
x:0.60,y:0.33,z:0.32
x:0.76,y:0.39,z:0.26
x:0.81,y:0.50,z:0.20
x:0.65,y:0.68,z:0.11
x:0.53,y:0.85,z:0.04
x:0.49,y:0.99,z:0.00
x:0.39,y:1.00,z:0.05
x:0.21,y:0.87,z:0.19
x:0.18,y:0.69,z:0.33
x:0.28,y:0.45,z:0.48
x:0.47,y:0.42,z:0.56
x:0.70,y:0.54,z:0.60
x:0.87,y:0.53,z:0.64
x:1.00,y:0.47,z:0.69
x:0.87,y:0.26,z:0.77
x:0.65,y:0.00,z:0.87
x:0.50,y:0.08,z:0.94
x:0.38,y:0.25,z:1.00
x:0.39,y:0.48,z:0.96
x:0.43,y:0.72,z:0.90
x:0.44,y:0.67,z:0.91
x:0.45,y:0.59,z:0.92
