=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 18:00:08 =~=~=~=~=~=~=~=~=~=~=~=
x:0.45,y:0.39,z:0.18
x:0.66,y:0.47,z:0.13
x:0.88,y:0.56,z:0.07
x:0.96,y:0.53,z:0.14
x:1.00,y:0.47,z:0.26
x:0.85,y:0.36,z:0.49
x:0.52,y:0.21,z:0.82
x:0.25,y:0.15,z:1.00
x:0.12,y:0.29,z:0.85
x:0.00,y:0.45,z:0.69
x:0.11,y:0.73,z:0.36
x:0.22,y:1.00,z:0.03
x:0.54,y:0.86,z:0.00
x:0.89,y:0.64,z:0.02
x:0.96,y:0.41,z:0.11
x:0.87,y:0.18,z:0.23
x:0.72,y:0.02,z:0.40
x:0.47,y:0.00,z:0.63
x:0.28,y:0.01,z:0.78
x:0.43,y:0.21,z:0.52
x:0.57,y:0.40,z:0.25
x:0.50,y:0.63,z:0.16
x:0.40,y:0.86,z:0.08
x:0.31,y:0.88,z:0.12
x:0.23,y:0.80,z:0.21
x:0.35,y:0.71,z:0.23
x:0.71,y:0.60,z:0.16
x:0.95,y:0.51,z:0.11
x:0.80,y:0.53,z:0.12
x:0.66,y:0.54,z:0.13
