=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 14:13:07 =~=~=~=~=~=~=~=~=~=~=~=
x:1.00,y:0.64,z:1.00
x:0.95,y:0.73,z:0.94
x:0.91,y:0.82,z:0.87
x:0.86,y:0.91,z:0.81
x:0.82,y:1.00,z:0.74
x:0.78,y:0.95,z:0.68
x:0.75,y:0.89,z:0.62
x:0.72,y:0.82,z:0.56
x:0.68,y:0.75,z:0.50
x:0.59,y:0.78,z:0.42
x:0.47,y:0.85,z:0.33
x:0.35,y:0.92,z:0.25
x:0.23,y:0.98,z:0.16
x:0.15,y:0.90,z:0.11
x:0.10,y:0.69,z:0.08
x:0.05,y:0.49,z:0.05
x:0.00,y:0.29,z:0.02
x:0.02,y:0.15,z:0.00
x:0.12,y:0.11,z:0.00
x:0.23,y:0.06,z:0.01
x:0.34,y:0.02,z:0.01
x:0.42,y:0.00,z:0.02
x:0.44,y:0.05,z:0.02
x:0.47,y:0.09,z:0.02
x:0.49,y:0.14,z:0.02
x:0.51,y:0.18,z:0.02
x:0.48,y:0.20,z:0.02
x:0.46,y:0.22,z:0.03
x:0.44,y:0.24,z:0.03
x:0.42,y:0.27,z:0.03
