=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 14:10:10 =~=~=~=~=~=~=~=~=~=~=~=
x:1.00,y:0.23,z:0.77
x:0.86,y:0.32,z:0.69
x:0.72,y:0.40,z:0.61
x:0.59,y:0.49,z:0.53
x:0.48,y:0.58,z:0.42
x:0.38,y:0.67,z:0.31
x:0.27,y:0.76,z:0.21
x:0.16,y:0.88,z:0.17
x:0.05,y:1.00,z:0.12
x:0.00,y:1.00,z:0.15
x:0.10,y:0.73,z:0.36
x:0.20,y:0.46,z:0.57
x:0.28,y:0.26,z:0.73
x:0.32,y:0.14,z:0.84
x:0.36,y:0.02,z:0.95
x:0.35,y:0.00,z:1.00
x:0.27,y:0.07,z:1.00
x:0.19,y:0.13,z:0.99
x:0.29,y:0.30,z:0.79
x:0.53,y:0.55,z:0.46
x:0.76,y:0.79,z:0.12
x:0.86,y:0.80,z:0.02
x:0.91,y:0.70,z:0.01
x:0.96,y:0.61,z:0.00
x:0.91,y:0.56,z:0.03
x:0.83,y:0.53,z:0.07
x:0.75,y:0.50,z:0.11
x:0.70,y:0.48,z:0.14
x:0.66,y:0.47,z:0.16
x:0.62,y:0.47,z:0.18
