=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:52:09 =~=~=~=~=~=~=~=~=~=~=~=
x:0.75,y:0.48,z:0.77
x:0.45,y:0.41,z:0.81
x:0.14,y:0.35,z:0.86
x:0.14,y:0.27,z:0.93
x:0.16,y:0.18,z:1.00
x:0.19,y:0.16,z:0.94
x:0.23,y:0.16,z:0.86
x:0.28,y:0.31,z:0.72
x:0.32,y:0.51,z:0.56
x:0.26,y:0.75,z:0.40
x:0.16,y:1.00,z:0.24
x:0.09,y:0.81,z:0.33
x:0.04,y:0.36,z:0.56
x:0.11,y:0.17,z:0.67
x:0.27,y:0.17,z:0.70
x:0.50,y:0.16,z:0.65
x:0.80,y:0.13,z:0.52
x:0.98,y:0.14,z:0.43
x:1.00,y:0.18,z:0.41
x:0.98,y:0.27,z:0.31
x:0.88,y:0.46,z:0.11
x:0.70,y:0.59,z:0.00
x:0.30,y:0.59,z:0.15
x:0.00,y:0.52,z:0.31
x:0.03,y:0.22,z:0.46
x:0.07,y:0.00,z:0.61
x:0.14,y:0.23,z:0.68
x:0.20,y:0.44,z:0.74
x:0.22,y:0.44,z:0.69
x:0.24,y:0.44,z:0.63
