=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 17:58:30 =~=~=~=~=~=~=~=~=~=~=~=
x:0.99,y:0.72,z:0.62
x:0.88,y:0.70,z:0.65
x:0.76,y:0.65,z:0.68
x:0.47,y:0.28,z:0.73
x:0.21,y:0.00,z:0.76
x:0.12,y:0.35,z:0.66
x:0.09,y:0.64,z:0.55
x:0.31,y:0.70,z:0.40
x:0.51,y:0.63,z:0.28
x:0.69,y:0.18,z:0.31
x:0.83,y:0.04,z:0.26
x:0.90,y:0.51,z:0.09
x:0.86,y:0.79,z:0.00
x:0.66,y:0.78,z:0.05
x:0.39,y:0.85,z:0.10
x:0.05,y:1.00,z:0.18
x:0.00,y:0.81,z:0.25
x:0.19,y:0.32,z:0.32
x:0.39,y:0.38,z:0.36
x:0.59,y:0.81,z:0.39
x:0.79,y:0.90,z:0.39
x:1.00,y:0.84,z:0.37
x:0.94,y:0.56,z:0.47
x:0.79,y:0.20,z:0.61
x:0.58,y:0.22,z:0.80
x:0.35,y:0.34,z:1.00
x:0.38,y:0.37,z:1.00
x:0.44,y:0.40,z:0.96
x:0.45,y:0.54,z:0.92
x:0.45,y:0.70,z:0.87
