=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 14:13:28 =~=~=~=~=~=~=~=~=~=~=~=
x:0.73,y:0.39,z:0.98
x:0.80,y:0.26,z:0.99
x:0.87,y:0.13,z:0.99
x:0.93,y:0.00,z:1.00
x:0.98,y:0.00,z:0.97
x:0.99,y:0.21,z:0.88
x:0.99,y:0.42,z:0.79
x:1.00,y:0.62,z:0.69
x:0.86,y:0.68,z:0.67
x:0.68,y:0.68,z:0.67
x:0.50,y:0.68,z:0.67
x:0.33,y:0.69,z:0.65
x:0.22,y:0.79,z:0.46
x:0.12,y:0.90,z:0.28
x:0.02,y:1.00,z:0.09
x:0.00,y:0.94,z:0.00
x:0.06,y:0.70,z:0.00
x:0.12,y:0.47,z:0.00
x:0.18,y:0.23,z:0.00
x:0.21,y:0.18,z:0.02
x:0.24,y:0.16,z:0.04
x:0.27,y:0.13,z:0.06
x:0.30,y:0.12,z:0.08
x:0.32,y:0.14,z:0.09
x:0.35,y:0.17,z:0.09
x:0.38,y:0.19,z:0.10
x:0.40,y:0.27,z:0.10
x:0.42,y:0.37,z:0.09
x:0.44,y:0.48,z:0.08
x:0.46,y:0.58,z:0.08
