=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:59:09 =~=~=~=~=~=~=~=~=~=~=~=
x:0.64,y:0.55,z:0.58
x:0.58,y:0.49,z:0.70
x:0.51,y:0.41,z:0.80
x:0.41,y:0.28,z:0.85
x:0.23,y:0.18,z:0.83
x:0.00,y:0.09,z:0.75
x:0.02,y:0.35,z:0.59
x:0.10,y:0.58,z:0.43
x:0.33,y:0.49,z:0.29
x:0.56,y:0.30,z:0.22
x:0.78,y:0.00,z:0.26
x:0.79,y:0.41,z:0.14
x:0.72,y:1.00,z:0.00
x:0.47,y:0.96,z:0.13
x:0.25,y:0.84,z:0.22
x:0.08,y:0.58,z:0.24
x:0.09,y:0.41,z:0.37
x:0.21,y:0.30,z:0.55
x:0.41,y:0.41,z:0.48
x:0.58,y:0.58,z:0.40
x:0.66,y:0.87,z:0.34
x:0.81,y:0.84,z:0.35
x:1.00,y:0.54,z:0.40
x:0.89,y:0.28,z:0.59
x:0.69,y:0.07,z:0.80
x:0.29,y:0.18,z:0.97
x:0.15,y:0.33,z:1.00
x:0.39,y:0.52,z:0.84
x:0.43,y:0.52,z:0.83
x:0.40,y:0.44,z:0.89
