=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:56:34 =~=~=~=~=~=~=~=~=~=~=~=
x:0.73,y:0.68,z:0.53
x:0.69,y:0.63,z:0.61
x:0.66,y:0.58,z:0.69
x:0.53,y:0.51,z:0.79
x:0.33,y:0.42,z:0.90
x:0.15,y:0.37,z:1.00
x:0.07,y:0.48,z:0.96
x:0.00,y:0.59,z:0.93
x:0.13,y:0.60,z:0.94
x:0.32,y:0.57,z:0.96
x:0.53,y:0.54,z:0.98
x:0.77,y:0.50,z:0.99
x:1.00,y:0.45,z:1.00
x:0.95,y:0.43,z:0.98
x:0.86,y:0.41,z:0.97
x:0.82,y:0.31,z:0.93
x:0.82,y:0.12,z:0.88
x:0.80,y:0.00,z:0.80
x:0.55,y:0.50,z:0.44
x:0.30,y:1.00,z:0.07
x:0.30,y:0.98,z:0.00
x:0.42,y:0.71,z:0.07
x:0.50,y:0.50,z:0.14
x:0.47,y:0.48,z:0.17
x:0.44,y:0.46,z:0.20
x:0.36,y:0.47,z:0.22
x:0.27,y:0.50,z:0.23
x:0.24,y:0.50,z:0.24
x:0.30,y:0.48,z:0.23
x:0.35,y:0.46,z:0.23
