=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:37:04 =~=~=~=~=~=~=~=~=~=~=~=
x:0.64,y:0.05,z:1.00
x:0.55,y:0.12,z:0.92
x:0.46,y:0.19,z:0.84
x:0.37,y:0.27,z:0.76
x:0.28,y:0.34,z:0.68
x:0.32,y:0.36,z:0.58
x:0.38,y:0.38,z:0.48
x:0.45,y:0.39,z:0.38
x:0.51,y:0.41,z:0.28
x:0.43,y:0.49,z:0.24
x:0.29,y:0.61,z:0.22
x:0.14,y:0.73,z:0.21
x:0.00,y:0.85,z:0.19
x:0.02,y:0.91,z:0.15
x:0.16,y:0.94,z:0.11
x:0.31,y:0.97,z:0.07
x:0.45,y:1.00,z:0.02
x:0.54,y:0.95,z:0.00
x:0.55,y:0.79,z:0.00
x:0.56,y:0.63,z:0.00
x:0.58,y:0.46,z:0.00
x:0.62,y:0.32,z:0.01
x:0.72,y:0.24,z:0.06
x:0.82,y:0.15,z:0.11
x:0.93,y:0.06,z:0.16
x:1.00,y:0.00,z:0.21
x:0.88,y:0.10,z:0.21
x:0.77,y:0.21,z:0.22
x:0.65,y:0.31,z:0.22
x:0.53,y:0.41,z:0.23
