=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 14:09:06 =~=~=~=~=~=~=~=~=~=~=~=
x:1.00,y:0.23,z:0.73
x:0.75,y:0.36,z:0.59
x:0.50,y:0.49,z:0.45
x:0.31,y:0.64,z:0.33
x:0.22,y:0.82,z:0.23
x:0.13,y:1.00,z:0.13
x:0.07,y:0.99,z:0.19
x:0.03,y:0.90,z:0.30
x:0.00,y:0.81,z:0.41
x:0.15,y:0.74,z:0.50
x:0.29,y:0.66,z:0.59
x:0.36,y:0.51,z:0.70
x:0.34,y:0.25,z:0.85
x:0.32,y:0.00,z:1.00
x:0.33,y:0.00,z:0.97
x:0.36,y:0.06,z:0.90
x:0.37,y:0.13,z:0.81
x:0.38,y:0.32,z:0.65
x:0.38,y:0.50,z:0.49
x:0.44,y:0.68,z:0.33
x:0.54,y:0.84,z:0.16
x:0.64,y:1.00,z:0.00
x:0.64,y:0.81,z:0.08
x:0.62,y:0.59,z:0.18
x:0.60,y:0.44,z:0.25
x:0.55,y:0.48,z:0.25
x:0.50,y:0.52,z:0.25
x:0.48,y:0.54,z:0.27
x:0.47,y:0.55,z:0.29
x:0.45,y:0.56,z:0.30
